,0
341,6
342,4
343,6
344,0
345,2
346,6
347,2
348,6
349,1
350,6
351,9
352,17
353,6
354,14
355,15
356,1
357,7
358,0
359,2
360,4
361,3
362,12
363,1
364,10
365,0
366,15
367,1
368,9
369,6
370,1
371,2
372,1
373,15
374,0
375,1
376,6
377,6
378,12
379,2
380,3
381,3
382,12
383,6
384,15
385,6
386,0
387,12
388,2
389,11
390,17
391,1
392,6
393,0
394,12
395,1
396,6
397,6
398,12
399,12
400,2
401,6
402,6
403,6
404,11
405,6
406,17
407,0
408,15
409,3
410,6
411,2
412,12
413,1
414,6
415,2
416,17
417,6
418,1
419,6
420,6
421,2
422,0
423,1
424,2
425,13
426,12
427,0
428,12
429,12
430,7
431,6
432,6
433,6
434,2
435,6
436,6
437,1
438,4
439,4
440,2
441,6
442,1
443,6
444,5
445,0
446,7
447,0
448,0
449,12
450,2
451,6
452,6
453,2
454,6
455,1
456,12
457,1
458,16
459,6
460,17
461,15
462,12
463,6
464,6
465,5
466,12
467,0
468,5
469,2
470,1
471,14
472,10
473,6
474,2
475,2
476,1
477,0
478,9
479,3
480,15
481,2
482,2
483,11
484,10
485,1
486,1
487,6
488,6
489,6
490,0
491,3
492,6
493,6
494,17
495,4
496,2
497,5
498,15
499,6
500,2
501,12
502,6
503,6
504,6
505,2
506,2
507,10
508,1
509,4
510,1
511,6
512,6
513,1
514,0
515,14
516,6
517,1
518,17
519,6
520,0
521,7
522,6
523,13
524,12
525,9
526,3
527,6
528,9
529,0
530,1
531,3
532,9
533,6
534,2
535,2
536,6
537,12
538,5
539,2
540,3
541,2
542,6
543,6
544,15
545,0
546,12
547,6
548,9
549,6
550,12
551,6
552,4
553,1
554,6
555,2
556,12
557,0
558,3
559,6
560,6
561,0
562,9
563,9
564,2
565,0
566,3
567,1
568,7
569,6
570,4
571,10
572,13
573,2
574,15
575,0
576,2
577,6
578,2
579,4
580,2
581,2
582,6
583,1
584,1
585,2
586,10
587,12
588,6
589,2
590,0
591,6
592,0
593,6
594,6
595,12
596,17
597,1
598,13
599,1
600,0
601,7
602,1
603,0
604,0
605,12
606,6
607,2
608,1
609,0
610,3
611,1
612,1
613,1
614,2
615,6
616,16
617,6
618,2
619,6
620,6
621,9
622,15
623,6
624,6
625,1
626,6
627,6
628,6
629,6
630,1
631,1
632,6
633,15
634,0
635,6
636,14
637,7
638,17
639,5
640,6
641,6
642,10
643,6
644,6
645,17
646,2
647,9
648,9
649,12
650,2
651,11
652,6
653,0
654,1
655,1
656,2
657,4
658,1
659,4
660,4
661,2
662,9
663,0
664,3
665,13
666,13
667,17
668,11
669,6
670,5
671,6
672,1
673,1
674,2
675,6
676,13
677,3
678,5
679,4
680,2
681,6
682,1
683,2
684,9
685,17
686,12
687,6
688,2
689,1
690,7
691,2
692,1
693,10
694,2
695,9
696,2
697,1
698,6
699,3
700,3
701,2
702,2
703,2
704,1
705,17
706,11
707,1
708,6
709,2
710,6
711,6
712,1
713,15
714,3
715,18
716,12
717,6
718,2
719,6
720,0
721,4
722,9
723,2
724,9
725,4
726,0
727,2
728,1
729,0
730,12
731,0
732,2
733,3
734,2
735,1
736,6
737,12
738,6
739,14
740,6
741,13
742,1
743,6
744,14
745,12
746,0
747,1
748,6
749,16
750,0
751,1
752,1
753,1
754,2
755,2
756,3
757,5
758,6
759,0
760,1
761,0
762,1
763,6
764,0
765,1
766,1
767,2
768,3
769,11
770,12
771,6
772,6
773,6
774,9
775,0
776,12
777,3
778,0
779,2
780,2
781,0
782,6
783,3
784,2
785,6
786,6
787,1
788,17
789,6
790,12
791,0
792,12
793,6
794,3
795,0
796,1
797,2
798,0
799,6
800,3
801,2
802,11
803,0
804,16
805,4
806,6
807,3
808,2
809,4
810,6
811,6
812,11
813,6
814,1
815,6
816,1
817,6
818,2
819,12
820,0
821,2
822,12
823,0
824,6
825,6
826,11
827,0
828,2
829,4
830,6
831,1
832,6
833,6
834,6
835,4
836,4
837,10
838,0
839,6
840,14
841,1
842,6
843,6
844,1
845,1
846,2
847,6
848,11
849,1
850,9
851,2
852,2
853,2
854,15
855,13
856,2
857,6
858,9
859,2
860,6
861,2
862,1
863,6
864,13
865,1
866,17
867,0
868,6
869,1
870,1
871,2
872,17
873,6
874,3
875,4
876,12
877,15
878,12
879,3
880,6
881,6
882,17
883,2
884,6
885,15
886,17
887,1
888,0
889,14
890,6
891,12
892,1
893,1
894,3
895,2
896,7
897,0
898,11
899,12
900,11
901,1
902,6
903,15
904,11
905,6
906,6
907,10
908,6
909,0
910,1
911,3
912,1
913,1
914,4
915,6
916,6
917,6
918,2
919,1
920,0
921,3
922,6
923,2
924,3
925,6
926,6
927,6
928,2
929,1
930,2
931,17
932,12
933,6
934,6
935,3
936,1
937,2
938,1
939,0
940,2
941,2
942,2
943,1
944,3
945,12
946,9
947,6
948,4
949,17
950,9
951,6
952,0
953,2
954,17
955,7
956,7
957,6
958,6
959,1
960,12
961,1
962,2
963,3
964,0
965,0
966,2
967,12
968,6
969,0
970,2
971,6
972,5
973,1
974,7
975,0
976,1
977,17
978,10
979,4
980,6
981,4
982,6
983,2
984,6
985,10
986,6
987,13
988,9
989,9
990,6
991,6
992,2
993,6
994,2
995,0
996,2
997,0
998,2
999,0
1000,4
1001,6
1002,12
1003,11
1004,2
1005,1
1006,6
1007,2
1008,1
1009,1
1010,6
1011,1
1012,6
1013,17
1014,2
1015,11
1016,2
1017,1
1018,0
1019,9
1020,1
1021,2
1022,2
1023,3
1024,10
1025,15
1026,0
1027,0
1028,17
1029,2
1030,6
1031,6
1032,16
1033,3
1034,2
1035,4
1036,3
1037,1
1038,1
1039,12
1040,0
1041,12
1042,6
1043,6
1044,6
1045,9
1046,10
1047,12
1048,0
1049,6
1050,1
1051,13
1052,2
1053,6
1054,2
1055,6
1056,1
1057,6
1058,1
1059,17
1060,6
1061,3
1062,4
1063,6
1064,3
1065,2
1066,1
1067,6
1068,6
1069,1
1070,6
1071,0
1072,3
1073,1
1074,12
1075,15
1076,10
1077,3
1078,6
1079,6
1080,0
1081,2
1082,6
1083,2
1084,14
1085,13
1086,1
1087,5
1088,6
1089,2
1090,6
1091,6
1092,4
1093,2
1094,6
1095,6
1096,1
1097,6
1098,3
1099,6
1100,2
1101,6
1102,1
1103,0
1104,6
1105,6
1106,6
1107,10
1108,6
1109,12
1110,6
1111,6
1112,4
1113,12
1114,13
1115,13
1116,12
1117,4
1118,17
1119,1
1120,6
1121,6
1122,10
1123,9
1124,0
1125,6
1126,2
1127,17
1128,2
1129,2
1130,6
1131,15
1132,14
1133,13
1134,17
1135,1
1136,2
1137,4
1138,6
1139,0
1140,15
1141,6
1142,1
1143,1
1144,1
1145,1
1146,2
1147,4
1148,2
1149,1
1150,1
1151,6
1152,6
1153,1
1154,0
1155,17
1156,1
1157,17
1158,6
1159,0
1160,9
1161,2
1162,6
1163,6
1164,2
1165,6
1166,0
1167,12
1168,0
1169,0
1170,1
1171,6
1172,4
1173,2
1174,6
1175,6
1176,3
1177,6
1178,2
1179,0
1180,2
1181,6
1182,6
1183,2
1184,2
1185,3
1186,9
1187,4
1188,4
1189,2
1190,6
1191,0
1192,0
1193,6
1194,2
1195,2
1196,0
1197,2
1198,0
1199,0
1200,10
1201,12
1202,1
1203,6
1204,6
1205,6
1206,2
1207,2
1208,2
1209,0
1210,2
1211,0
1212,2
1213,2
1214,6
1215,15
1216,1
1217,9
1218,12
1219,6
1220,2
1221,1
1222,2
1223,6
1224,2
1225,13
1226,2
1227,0
1228,2
1229,5
1230,9
1231,1
1232,2
1233,12
1234,4
1235,6
1236,15
1237,6
1238,6
1239,6
1240,11
1241,6
1242,2
1243,2
1244,4
1245,2
1246,3
1247,0
1248,1
1249,13
1250,6
1251,2
1252,13
1253,6
1254,0
1255,14
1256,3
1257,2
1258,15
1259,2
1260,1
1261,4
1262,18
1263,2
1264,15
1265,2
1266,6
1267,11
1268,11
1269,6
1270,15
1271,6
1272,13
1273,14
1274,2
1275,6
1276,2
1277,9
1278,12
1279,2
1280,6
1281,6
1282,0
1283,15
1284,0
1285,0
1286,9
1287,1
1288,9
1289,1
1290,12
1291,0
1292,13
1293,6
1294,17
1295,2
1296,2
1297,3
1298,13
1299,2
1300,0
1301,0
1302,2
1303,17
1304,6
1305,6
1306,2
1307,17
1308,13
1309,2
1310,14
1311,9
1312,6
1313,2
1314,6
1315,17
1316,0
1317,1
1318,1
1319,14
1320,4
1321,1
1322,10
1323,2
1324,15
1325,6
1326,4
1327,6
1328,3
1329,2
1330,14
1331,6
1332,4
1333,6
1334,6
1335,6
1336,6
1337,0
1338,2
1339,1
1340,6
1341,1
1342,12
1343,2
1344,0
1345,17
1346,1
1347,12
1348,0
1349,1
1350,13
1351,9
1352,3
1353,6
1354,2
1355,14
1356,6
1357,4
1358,6
1359,17
1360,3
1361,6
1362,15
1363,2
1364,0
1365,4
1366,2
1367,0
1368,0
1369,1
1370,0
1371,0
1372,0
1373,4
1374,2
1375,10
1376,2
1377,6
1378,6
1379,2
1380,15
1381,2
1382,1
1383,3
1384,3
1385,6
1386,0
1387,4
1388,3
1389,2
1390,0
1391,7
1392,4
1393,0
1394,6
1395,2
1396,6
1397,6
1398,1
1399,6
1400,2
1401,6
1402,2
1403,2
1404,16
1405,16
1406,10
1407,6
1408,6
1409,9
1410,4
1411,17
1412,6
1413,0
1414,3
1415,1
1416,6
1417,1
1418,0
1419,2
1420,0
1421,6
1422,15
1423,15
1424,2
1425,1
1426,1
1427,10
1428,13
1429,2
1430,6
1431,6
1432,1
1433,4
1434,1
1435,18
1436,12
1437,6
1438,1
1439,2
1440,6
1441,6
1442,9
1443,2
1444,13
1445,1
1446,2
1447,17
1448,15
1449,0
1450,0
1451,4
1452,5
1453,6
1454,2
1455,0
1456,2
1457,9
1458,11
1459,2
1460,1
1461,15
1462,2
1463,6
1464,15
1465,1
1466,3
1467,1
1468,9
1469,7
1470,2
1471,0
1472,6
1473,11
1474,1
1475,15
1476,1
1477,1
1478,13
1479,6
1480,2
1481,4
1482,2
1483,1
1484,13
1485,6
1486,2
1487,6
1488,16
1489,6
1490,6
1491,1
1492,2
1493,6
1494,0
1495,2
1496,15
1497,6
1498,2
1499,2
1500,0
1501,0
1502,2
1503,18
1504,2
1505,6
1506,6
1507,6
1508,11
1509,15
1510,6
1511,6
1512,0
1513,1
1514,9
1515,1
1516,6
1517,6
1518,17
1519,6
1520,9
1521,2
1522,17
1523,0
1524,2
1525,16
1526,6
1527,6
1528,0
1529,3
1530,14
1531,6
1532,2
1533,1
1534,1
1535,7
1536,1
1537,0
1538,6
1539,6
1540,2
1541,0
1542,6
1543,0
1544,17
1545,2
1546,1
1547,2
1548,6
1549,13
1550,2
1551,6
1552,1
1553,3
1554,6
1555,0
1556,1
1557,6
1558,2
1559,2
1560,14
1561,3
1562,2
1563,1
1564,17
1565,6
1566,6
1567,4
1568,17
1569,6
1570,13
1571,0
1572,0
1573,4
1574,4
1575,3
1576,13
1577,0
1578,1
1579,1
1580,6
1581,2
1582,0
1583,16
1584,1
1585,6
1586,2
1587,1
1588,3
1589,9
1590,1
1591,17
1592,0
1593,4
1594,15
1595,10
1596,6
1597,6
1598,9
1599,2
1600,3
1601,17
1602,6
1603,6
1604,3
1605,6
1606,13
1607,6
1608,17
1609,1
1610,13
1611,0
1612,6
1613,7
1614,2
1615,1
1616,6
1617,2
1618,15
1619,2
1620,6
1621,6
1622,0
1623,6
1624,1
1625,4
1626,0
1627,4
1628,17
1629,6
1630,1
1631,3
1632,6
1633,16
1634,2
1635,1
1636,2
1637,1
1638,1
1639,16
1640,0
1641,9
1642,1
1643,15
1644,0
1645,6
1646,15
1647,6
1648,1
1649,0
1650,2
1651,2
1652,0
1653,4
1654,12
1655,6
1656,2
1657,15
1658,14
1659,0
1660,6
1661,2
1662,6
1663,4
1664,2
1665,5
1666,6
1667,6
1668,0
1669,6
1670,1
1671,3
1672,0
1673,1
1674,0
1675,6
1676,6
1677,4
1678,1
1679,2
1680,0
1681,0
1682,1
1683,2
1684,2
1685,6
1686,2
1687,6
1688,6
1689,15
1690,16
1691,2
1692,0
1693,6
1694,17
1695,6
1696,6
1697,0
1698,4
1699,6
1700,1
1701,6
1702,2
1703,4
1704,2
1705,2
1706,0
1707,6
1708,0
1709,13
1710,6
1711,13
1712,1
1713,3
1714,6
1715,1
1716,0
1717,0
1718,1
1719,13
1720,4
1721,6
1722,1
1723,18
1724,6
1725,2
1726,3
1727,1
1728,0
1729,0
1730,13
1731,0
1732,2
1733,6
1734,3
1735,6
1736,1
1737,1
1738,18
1739,0
1740,0
1741,7
1742,0
1743,3
1744,1
1745,2
1746,17
1747,6
1748,6
1749,15
1750,3
1751,1
1752,6
1753,6
1754,0
1755,3
1756,6
1757,13
1758,18
1759,6
1760,13
1761,1
1762,7
1763,6
1764,1
1765,0
1766,1
1767,1
1768,7
1769,6
1770,1
1771,13
1772,13
1773,0
1774,15
1775,12
1776,6
1777,6
1778,0
1779,2
1780,6
1781,6
1782,0
1783,3
1784,0
1785,6
1786,1
1787,2
1788,0
1789,6
1790,6
1791,6
1792,0
1793,5
1794,2
1795,0
1796,6
1797,2
1798,1
1799,1
1800,15
1801,1
1802,4
1803,0
1804,13
1805,17
1806,6
1807,2
1808,17
1809,6
1810,0
1811,17
1812,1
1813,6
1814,6
1815,1
1816,17
1817,6
1818,0
1819,6
1820,0
1821,17
1822,17
1823,1
1824,6
1825,16
1826,1
1827,1
1828,0
1829,13
1830,1
1831,6
1832,1
1833,5
1834,1
1835,1
1836,4
1837,3
1838,6
1839,18
1840,3
1841,1
1842,1
1843,6
1844,1
1845,16
1846,1
1847,1
1848,6
1849,15
1850,15
1851,6
1852,1
1853,6
1854,15
1855,6
1856,1
1857,5
1858,3
1859,15
1860,1
1861,6
1862,3
1863,1
1864,3
1865,3
1866,1
1867,15
1868,3
1869,3
1870,17
1871,3
1872,3
1873,3
1874,18
1875,3
1876,1
1877,3
1878,13
1879,1
1880,3
1881,1
1882,3
1883,3
1884,3
1885,3
1886,3
1887,15
1888,1
1889,13
1890,1
1891,15
1892,1
1893,15
1894,3
1895,3
1896,3
1897,1
1898,1
1899,15
1900,1
1901,1
1902,15
1903,7
1904,1
1905,7
1906,4
1907,7
1908,1
1909,15
1910,7
1911,4
1912,4
1913,8
1914,7
1915,7
1916,3
1917,7
1918,4
1919,4
1920,7
1921,4
1922,4
1923,4
1924,4
1925,7
1926,8
